player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Tjark Ernst,Hertha Berlin,29,7,9,13,0
Jude Bellingham,Borussia Dortmund,51.2,3.7,1.6,38.8,7
Joshua Kimmich,Bayern Munich,75.5,4.8,1.8,62.8,6
Niclas Füllkrug,Werder Bremen,32.3,1.5,0.9,19,10.8
Christopher Nkunku,RB Leipzig,23.8,1.2,0.4,18.2,3.9
Jamal Musiala,Bayern Munich,30,0.5,0.4,25.2,4
Dominik Szoboszlai,RB Leipzig,45.2,2.5,0.8,34.9,6.9
Randal Kolo Muani,Eintracht Frankfurt,19.3,0.4,0.3,12.6,6
Julian Brandt,Borussia Dortmund,37,1.8,0.4,29.2,5.6
Raphaël Guerreiro,Borussia Dortmund,56.7,1.5,1.6,46.8,6.8
Vincenzo Grifo,Freiburg,35.7,2.3,2.1,25.8,5.5
Jonas Hofmann,Borussia M.Gladbach,41.8,1.5,1.8,32.4,6.1
Sébastien Haller,Borussia Dortmund,16.1,0.2,0.2,11.2,4.5
Donyell Malen,Borussia Dortmund,21,0.5,0.3,16.3,3.8
Julien Duranville,Borussia Dortmund,9,0,0,7,2
Kingsley Coman,Bayern Munich,29.9,0.8,0.5,24.5,4.1
João Cancelo,Bayern Munich,48.7,2.3,2.1,39.1,5.2
Eric Choupo-Moting,Bayern Munich,15.1,0.3,0.2,11.4,3.2
Benjamin Pavard,Bayern Munich,74.4,3.2,2.1,63.6,5.4
Alphonso Davies,Bayern Munich,53,1.4,1.3,44.8,5.5
Florian Wirtz,Bayer Leverkusen,34,1.5,1.1,25.2,6.2
Yann Sommer,Borussia M.Gladbach,55.5,6.9,10,37.8,0.8
Thomas Müller,Bayern Munich,28.7,0.5,0.9,21.7,5.6
Jeff Chabot,FC Koln,56.1,2.2,4.1,44.2,5.6
Jeremie Frimpong,Bayer Leverkusen,27.5,0.5,0.6,21.8,4.5
Michael Gregoritsch,Freiburg,17.3,0.2,0.4,9.5,7.1
Serge Gnabry,Bayern Munich,23.9,0.6,0.4,19.1,3.8
Marcus Thuram,Borussia M.Gladbach,18.3,0.1,0.2,13.6,4.4
Leroy Sané,Bayern Munich,32.8,0.8,0.5,26.3,5.1
Nico Schlotterbeck,Borussia Dortmund,67.4,5.3,4.1,53.3,4.8
Frederik Winther,Augsburg,35,4,6,18,7
Florian Kainz,FC Koln,28.7,1.7,2.3,19.2,5.5
Moussa Diaby,Bayer Leverkusen,26.4,0.8,0.3,20.1,5.2
Willi Orbán,RB Leipzig,79.6,4.2,3.5,66.7,5.1
Ellyes Skhiri,FC Koln,52.7,2.1,0.9,44.5,5.2
Maximilian Arnold,Wolfsburg,45.9,5.2,3.8,33,3.8
Frederik Rønnow,Union Berlin,40.3,9,13.3,17.9,0.1
Borna Sosa,VfB Stuttgart,41,1.8,1.8,31.9,5.5
Philipp Hofmann,Bochum,21.6,0.3,0.2,12.5,8.7
Konstantinos Mavropanos,VfB Stuttgart,49.7,5.7,2.7,35.8,5.5
Paulo Otávio,Wolfsburg,36.8,1.6,2.9,26.1,6.2
Marvin Ducksch,Werder Bremen,22.9,1.1,1.1,14.7,6
Patrick Wimmer,Wolfsburg,17.6,0.4,0.7,11.2,5.4
Jonas Hector,FC Koln,44.7,2,3.6,33.6,5.5
Danilho Doekhi,Union Berlin,37.7,2,2.7,28.2,4.8
Mats Hummels,Borussia Dortmund,55.4,5,2.8,43.6,4
Wataru Endo,VfB Stuttgart,44.3,2.5,1.8,32.8,7.2
Ørjan Nyland,RB Leipzig,44.5,8.5,11,24.5,0.5
Ludovic Ajorque,Mainz 05,23.9,0.8,0.2,13.4,9.5
Ramy Bensebaïni,Borussia M.Gladbach,44.3,2,3.6,32.5,6.3
Matthias Ginter,Freiburg,55.4,4.3,4.1,41.6,5.4
Ralf Fährmann,Schalke 04,32.6,9.3,10.8,12,0.4
Diant Ramaj,Eintracht Frankfurt,18,2,4,12,0
Mitchell Weiser,Werder Bremen,33,1.8,2.2,21.3,7.7
Matthijs de Ligt,Bayern Munich,66.9,3.2,1.9,57.9,3.9
Dani Olmo,RB Leipzig,25,0.8,1,18.5,4.7
Christoph Baumgartner,Hoffenheim,25.6,1,0.9,16.5,7.2
Sheraldo Becker,Union Berlin,14.7,0.6,0.2,9.5,4.4
Michael Zetterer,Werder Bremen,24,8.5,9,6.5,0
Rodrigo Zalazar,Schalke 04,13.9,0.7,1,8.9,3.4
Ritsu Doan,Freiburg,17.9,0.5,0.5,12.4,4.5
Finn Dahmen,Mainz 05,30.3,7,11.9,11.4,0
Timo Hübers,FC Koln,58.4,3.2,4.6,44.9,5.7
Leon Goretzka,Bayern Munich,36.8,1.1,0.9,29.4,5.4
Julian Ryerson,Union Berlin,26.1,1.2,2.5,17.9,4.5
Emre Can,Borussia Dortmund,47.3,2.6,1.3,39.8,3.6
Lucas Tousart,Hertha Berlin,25.8,0.8,1.9,15.1,8
Andreas Hanche-Olsen,Mainz 05,43.7,3.1,5.3,28.4,7
Robin Knoche,Union Berlin,50.9,4.6,5,36.8,4.5
Sasa Kalajdzic,VfB Stuttgart,21,1.3,0.3,12,7.3
Marc Oliver Kempf,Hertha Berlin,41.8,2.2,3.1,30.4,6.1
Noussair Mazraoui,Bayern Munich,38.9,0.5,0.9,33.3,4.2
Konrad Laimer,RB Leipzig,34.6,1.2,1.7,26.6,5.1
Felix Nmecha,Wolfsburg,23,1.2,1.1,16.5,4.3
Karim Adeyemi,Borussia Dortmund,17.4,0.4,0.3,13,3.6
Sadio Mané,Bayern Munich,15.4,0.2,0.2,11.6,3.4
Anton Stach,Mainz 05,27.5,1,1.1,18.9,6.6
Dodi Lukébakio,Hertha Berlin,17,0.9,0.2,11.7,4.2
Robert Andrich,Bayer Leverkusen,49.8,1.8,1.9,39.9,6.1
Lucas Höler,Freiburg,18,0.3,0.3,11.7,5.7
Kevin Stöger,Bochum,44.3,3,3.3,29.9,8.2
Kevin Behrens,Union Berlin,14.2,0.3,0.1,8.2,5.6
Jan Olschowsky,Borussia M.Gladbach,33.5,4,7,22.5,0
Georginio Rutter,Hoffenheim,9.8,0.5,0.1,5.8,3.5
Ihlas Bebou,Hoffenheim,17.6,0.5,0.5,11.5,5.1
Manuel Neuer,Bayern Munich,35.2,5.9,4.3,24.7,0.3
Karim Onisiwo,Mainz 05,17.5,0.2,0.3,10.3,6.6
Soichiro Kozuki,Schalke 04,13.8,0.8,1,8.6,3.4
Timo Werner,RB Leipzig,23.4,0.6,0.3,17.3,5.1
