player_name,team_name,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots
Tjark Ernst,Hertha Berlin,0,0,0,0
Jude Bellingham,Borussia Dortmund,2.2,0.8,0.1,1.3
Joshua Kimmich,Bayern Munich,0.8,0.7,0,0.2
Niclas Füllkrug,Werder Bremen,2.8,0.6,0.2,2
Christopher Nkunku,RB Leipzig,3,0.7,0.2,2
Jamal Musiala,Bayern Munich,2,0.5,0.2,1.3
Dominik Szoboszlai,RB Leipzig,1.9,1.2,0,0.7
Randal Kolo Muani,Eintracht Frankfurt,2.4,0.3,0.5,1.6
Julian Brandt,Borussia Dortmund,1.3,0.5,0.1,0.7
Raphaël Guerreiro,Borussia Dortmund,1.2,0.5,0.1,0.6
Vincenzo Grifo,Freiburg,2,1,0.1,0.9
Jonas Hofmann,Borussia M.Gladbach,1.5,0.4,0.1,1
Sébastien Haller,Borussia Dortmund,1.8,0.1,0.6,1.2
Donyell Malen,Borussia Dortmund,2.5,0.7,0.3,1.4
Julien Duranville,Borussia Dortmund,1,1,0,0
Kingsley Coman,Bayern Munich,2,0.8,0,1.2
João Cancelo,Bayern Munich,0.8,0.3,0,0.5
Eric Choupo-Moting,Bayern Munich,1.6,0.1,0.3,1.3
Benjamin Pavard,Bayern Munich,1.1,0.5,0.1,0.5
Alphonso Davies,Bayern Munich,0.7,0.3,0,0.4
Florian Wirtz,Bayer Leverkusen,0.4,0.2,0,0.2
Yann Sommer,Borussia M.Gladbach,0,0,0,0
Thomas Müller,Bayern Munich,1.7,0.2,0.2,1.3
Jeff Chabot,FC Koln,0.7,0,0.2,0.5
Jeremie Frimpong,Bayer Leverkusen,1.1,0.1,0.2,0.7
Michael Gregoritsch,Freiburg,2.2,0.4,0.2,1.6
Serge Gnabry,Bayern Munich,2.4,0.3,0.1,2
Marcus Thuram,Borussia M.Gladbach,3.1,0.2,0.3,2.5
Leroy Sané,Bayern Munich,2.4,1.2,0.1,1.2
Nico Schlotterbeck,Borussia Dortmund,0.6,0.3,0.1,0.3
Frederik Winther,Augsburg,0,0,0,0
Florian Kainz,FC Koln,1.7,0.9,0,0.7
Moussa Diaby,Bayer Leverkusen,2.4,0.8,0,1.6
Willi Orbán,RB Leipzig,0.8,0,0.1,0.7
Ellyes Skhiri,FC Koln,1,0.4,0.3,0.3
Maximilian Arnold,Wolfsburg,1.1,0.8,0,0.2
Frederik Rønnow,Union Berlin,0,0,0,0
Borna Sosa,VfB Stuttgart,0.6,0.4,0,0.2
Philipp Hofmann,Bochum,1.5,0.3,0.3,0.9
Konstantinos Mavropanos,VfB Stuttgart,1.7,0.5,0.3,1
Paulo Otávio,Wolfsburg,0.8,0.5,0,0.2
Marvin Ducksch,Werder Bremen,2.8,1.1,0,1.7
Patrick Wimmer,Wolfsburg,1.2,0.1,0.1,1
Jonas Hector,FC Koln,0.8,0.2,0.1,0.4
Danilho Doekhi,Union Berlin,0.7,0.1,0,0.6
Mats Hummels,Borussia Dortmund,0.6,0,0.1,0.4
Wataru Endo,VfB Stuttgart,1.4,0.5,0.2,0.7
Ørjan Nyland,RB Leipzig,0,0,0,0
Ludovic Ajorque,Mainz 05,1.9,0.4,0.3,1.2
Ramy Bensebaïni,Borussia M.Gladbach,1.5,0.4,0.1,1
Matthias Ginter,Freiburg,0.6,0,0.1,0.4
Ralf Fährmann,Schalke 04,0,0,0,0
Diant Ramaj,Eintracht Frankfurt,0,0,0,0
Mitchell Weiser,Werder Bremen,0.9,0.3,0.1,0.6
Matthijs de Ligt,Bayern Munich,0.7,0.2,0.1,0.5
Dani Olmo,RB Leipzig,1.9,1.1,0.1,0.7
Christoph Baumgartner,Hoffenheim,2,0.5,0.1,1.3
Sheraldo Becker,Union Berlin,2,0.6,0.1,1.3
Michael Zetterer,Werder Bremen,0,0,0,0
Rodrigo Zalazar,Schalke 04,1.7,1,0.1,0.6
Ritsu Doan,Freiburg,1.7,0.5,0.1,1.1
Finn Dahmen,Mainz 05,0,0,0,0
Timo Hübers,FC Koln,0.5,0,0.2,0.3
Leon Goretzka,Bayern Munich,1.5,0.6,0.1,0.8
Julian Ryerson,Union Berlin,1.2,0.8,0,0.4
Emre Can,Borussia Dortmund,0.6,0.4,0,0.2
Lucas Tousart,Hertha Berlin,1.3,0.4,0,0.9
Andreas Hanche-Olsen,Mainz 05,0.4,0.1,0.1,0.3
Robin Knoche,Union Berlin,0.3,0,0,0.3
Sasa Kalajdzic,VfB Stuttgart,1.7,0,0.3,1.3
Marc Oliver Kempf,Hertha Berlin,0.5,0,0.1,0.4
Noussair Mazraoui,Bayern Munich,0.4,0.2,0,0.3
Konrad Laimer,RB Leipzig,1,0.4,0,0.6
Felix Nmecha,Wolfsburg,1.2,0.5,0.1,0.7
Karim Adeyemi,Borussia Dortmund,1.6,0.5,0.1,0.9
Sadio Mané,Bayern Munich,2.2,0.1,0.3,1.8
Anton Stach,Mainz 05,1.2,0.7,0,0.5
Dodi Lukébakio,Hertha Berlin,2,0.7,0.1,1.3
Robert Andrich,Bayer Leverkusen,1,0.7,0,0.3
Lucas Höler,Freiburg,1.2,0.2,0.1,0.9
Kevin Stöger,Bochum,1.5,1,0,0.5
Kevin Behrens,Union Berlin,1.1,0.1,0.1,0.8
Jan Olschowsky,Borussia M.Gladbach,0,0,0,0
Georginio Rutter,Hoffenheim,1.8,0.5,0.1,1.3
Ihlas Bebou,Hoffenheim,1.5,0.4,0.3,0.8
Manuel Neuer,Bayern Munich,0.2,0,0,0.2
Karim Onisiwo,Mainz 05,2.2,0.5,0.1,1.6
Soichiro Kozuki,Schalke 04,2.8,1.2,0.2,1.4
Timo Werner,RB Leipzig,2.3,0.3,0.1,1.8
Exequiel Palacios,Bayer Leverkusen,0.8,0.5,0,0.3
Marius Wolf,Borussia Dortmund,0.9,0.4,0,0.6
Aurélio Buta,Eintracht Frankfurt,0.5,0.1,0,0.4
Manu Koné,Borussia M.Gladbach,0.9,0.7,0,0.1
Philipp Lienhart,Freiburg,0.6,0.2,0.1,0.3
Lukas Kübler,Freiburg,0.4,0,0.1,0.3
Lars Stindl,Borussia M.Gladbach,1.7,0.9,0,0.9
Daichi Kamada,Eintracht Frankfurt,1.4,0.4,0.3,0.7
Rafal Gikiewicz,Augsburg,0,0,0,0
Tomás Koubek,Augsburg,0,0,0,0
Mark Flekken,Freiburg,0,0,0,0
Niklas Süle,Borussia Dortmund,1.1,0.4,0,0.7
Julian Ryerson,Borussia Dortmund,0.6,0.4,0,0.2
Nicolas Höfler,Freiburg,0.7,0.2,0.1,0.4
Gregor Kobel,Borussia Dortmund,0,0,0,0
Florian Niederlechner,Augsburg,2,0.5,0.2,1.3
Josip Juranovic,Union Berlin,0.6,0.3,0,0.3
Lee Jae-Sung,Mainz 05,1,0.3,0.2,0.6
Koen Casteels,Wolfsburg,0,0,0,0
Christopher Trimmel,Union Berlin,0.6,0.2,0,0.4
Serhou Guirassy,VfB Stuttgart,2.2,0.6,0.5,1.2
Benjamin Henrichs,RB Leipzig,1,0.6,0,0.4
Ermedin Demirovic,Augsburg,2.1,0.5,0.3,1.3
Stefan Bell,Mainz 05,0.2,0,0,0.2
Abdou Diallo,RB Leipzig,0.5,0,0.1,0.4
Ko Itakura,Borussia M.Gladbach,0.5,0.1,0,0.3
Leandro Barreiro,Mainz 05,1,0.2,0.1,0.8
